sale_date,total_transactions,total_quantity,total_sales
2025-01-04,1,2,900000.0
2025-01-05,1,5,2250000.0
2025-01-07,1,1,1800000.0
2025-01-11,1,5,2250000.0
2025-01-12,1,3,1050000.0
2025-01-13,2,6,900000.0
2025-01-14,1,5,2250000.0
2025-01-17,1,3,5400000.0
2025-01-19,2,10,9750000.0
2025-01-23,1,4,600000.0
2025-01-24,1,3,450000.0
2025-01-26,1,4,1800000.0
2025-01-27,1,2,700000.0
2025-01-29,1,3,450000.0
2025-02-02,1,2,300000.0
2025-02-04,1,2,15000000.0
2025-02-07,1,3,5400000.0
2025-02-08,1,5,750000.0
2025-02-09,1,4,1400000.0
2025-02-11,1,4,7200000.0
2025-02-12,1,1,450000.0
2025-02-14,1,2,700000.0
2025-02-21,1,3,1350000.0
2025-02-22,1,2,900000.0
2025-02-24,1,5,750000.0
2025-02-25,1,1,350000.0
2025-02-28,1,4,600000.0
2025-03-01,1,5,2250000.0
2025-03-03,1,4,600000.0
2025-03-05,1,5,9000000.0
2025-03-07,2,6,1500000.0
2025-03-08,1,3,22500000.0
2025-03-09,1,2,300000.0
2025-03-10,1,1,350000.0
2025-03-13,1,3,450000.0
2025-03-17,2,7,2550000.0
2025-03-20,1,5,37500000.0
2025-03-22,1,1,350000.0
2025-03-25,1,3,5400000.0
2025-03-26,1,1,7500000.0
2025-03-27,1,4,30000000.0
2025-03-28,1,4,1800000.0
2025-03-29,1,2,900000.0
2025-03-31,1,1,450000.0
2025-04-01,1,4,600000.0
2025-04-02,1,3,22500000.0
2025-04-04,2,7,6000000.0
2025-04-08,1,2,3600000.0
2025-04-09,3,9,3550000.0
2025-04-12,1,4,7200000.0
2025-04-18,2,6,23550000.0
2025-04-19,1,4,1800000.0
2025-04-20,1,5,37500000.0
2025-04-22,1,1,7500000.0
2025-04-23,2,7,31350000.0
2025-05-01,1,1,350000.0
2025-05-02,1,1,7500000.0
2025-05-03,1,3,450000.0
2025-05-04,1,1,150000.0
2025-05-07,1,1,7500000.0
2025-05-08,1,1,350000.0
2025-05-09,2,7,2850000.0
2025-05-11,1,2,900000.0
2025-05-13,1,3,450000.0
2025-05-16,4,15,76750000.0
2025-05-17,4,14,54550000.0
2025-05-21,1,1,7500000.0
2025-05-22,2,5,30150000.0
2025-05-23,4,14,19800000.0
2025-05-26,1,3,450000.0
2025-05-27,1,4,1800000.0
2025-05-28,1,5,2250000.0
2025-05-30,1,4,600000.0
2025-06-04,1,4,1400000.0
2025-06-07,1,1,150000.0
2025-06-08,1,1,7500000.0
2025-06-09,2,4,15300000.0
2025-06-10,2,8,7150000.0
2025-06-11,2,6,4050000.0
2025-06-15,2,9,67500000.0
2025-06-16,1,1,7500000.0
2025-06-17,1,3,22500000.0
2025-06-21,1,3,450000.0
2025-06-22,1,4,1800000.0
2025-06-24,1,4,600000.0
2025-06-28,1,4,30000000.0
2025-06-29,1,4,600000.0
2025-06-30,2,4,3150000.0
2025-07-03,1,5,9000000.0
2025-07-04,1,2,700000.0
2025-07-06,1,5,37500000.0
2025-07-08,1,5,1750000.0
2025-07-11,1,3,1050000.0
2025-07-15,1,5,37500000.0
2025-07-17,1,4,7200000.0
2025-07-21,1,1,450000.0
2025-07-22,1,4,600000.0
2025-07-24,2,8,9450000.0
2025-07-25,1,3,22500000.0
2025-07-26,1,1,350000.0
2025-07-27,1,2,700000.0
2025-07-28,3,11,53100000.0
2025-07-30,2,7,1850000.0
2025-08-01,2,5,30150000.0
2025-08-03,1,5,750000.0
2025-08-04,1,2,15000000.0
2025-08-05,1,5,37500000.0
2025-08-08,1,5,1750000.0
2025-08-09,1,3,450000.0
2025-08-11,1,3,22500000.0
2025-08-13,1,3,450000.0
2025-08-15,2,2,300000.0
2025-08-17,1,5,9000000.0
2025-08-18,1,5,750000.0
2025-08-19,1,4,30000000.0
2025-08-20,1,5,9000000.0
2025-08-22,2,9,39300000.0
2025-08-25,2,6,37650000.0
2025-08-26,1,2,3600000.0
2025-08-27,2,7,2650000.0
2025-08-29,1,1,1800000.0
2025-09-03,1,4,1400000.0
2025-09-04,1,4,7200000.0
2025-09-05,1,4,1400000.0
2025-09-06,2,6,9250000.0
2025-09-07,1,2,900000.0
2025-09-11,1,4,600000.0
2025-09-14,2,8,7150000.0
2025-09-15,1,4,1800000.0
2025-09-18,1,2,300000.0
2025-09-21,1,1,350000.0
2025-09-23,1,2,15000000.0
2025-09-24,1,1,1800000.0
2025-10-03,2,9,8950000.0
2025-10-04,2,3,2500000.0
2025-10-09,1,4,1400000.0
2025-10-10,2,8,1200000.0
2025-10-11,3,9,46350000.0
2025-10-14,1,3,22500000.0
2025-10-16,2,7,9300000.0
2025-10-17,2,2,800000.0
2025-10-18,1,2,15000000.0
2025-10-20,1,2,300000.0
2025-10-22,1,1,450000.0
2025-10-23,2,6,2550000.0
2025-10-24,1,1,150000.0
2025-10-26,1,4,600000.0
2025-10-28,1,3,1050000.0
2025-10-29,1,3,5400000.0
2025-10-31,1,4,7200000.0
2025-11-02,2,9,16200000.0
2025-11-03,1,2,3600000.0
2025-11-06,1,3,1050000.0
2025-11-07,1,2,700000.0
2025-11-10,1,4,1400000.0
2025-11-12,1,2,3600000.0
2025-11-14,1,5,1750000.0
2025-11-19,1,1,7500000.0
2025-11-20,1,2,15000000.0
2025-11-22,3,12,44700000.0
2025-11-23,1,4,600000.0
2025-11-24,2,6,6750000.0
2025-11-25,1,3,1050000.0
2025-11-28,1,5,37500000.0
2025-11-29,2,6,2500000.0
2025-11-30,1,1,7500000.0
2025-12-02,3,11,3150000.0
2025-12-04,1,1,7500000.0
2025-12-08,1,3,5400000.0
2025-12-09,3,11,7400000.0
2025-12-10,3,7,5350000.0
2025-12-13,1,3,5400000.0
2025-12-14,1,3,1350000.0
2025-12-18,1,2,700000.0
2025-12-19,1,4,30000000.0
2025-12-20,1,2,900000.0
2025-12-22,1,4,600000.0
2025-12-24,1,3,1350000.0
2025-12-26,3,10,3500000.0
2025-12-27,1,5,9000000.0
2025-12-29,1,1,350000.0
