sale_id,sale_date,product_id,product_name,quantity,unit_price,total_amount,city
101,2025-04-18,P001,Laptop,3,7500000,22500000,Jakarta
74,2025-09-18,P002,Mouse,1,,150000,Yogyakarta
123,2025-04-09,P005,Headset,2,450000,900000,Surabaya
273,2025-01-19,P004,Monitor,5,1800000,9000000,Semarang
254,2025-09-05,P003,Keyboard,4,350000,1400000,Surabaya
220,2025-02-08,P002,Mouse,5,150000,750000,Jakarta
94,2025-05-22,P001,Laptop,4,7500000,30000000,Yogyakarta
246,2025-11-17,,Headset,4,450000,1800000,Surabaya
1,2025-05-21,P001,Laptop,1,7500000,7500000,Jakarta
86,2025-05-26,P002,Mouse,3,150000,450000,Jakarta
116,2025-03-01,P005,Headset,5,450000,2250000,Surabaya
289,2025-02-24,,Monitor,4,1800000,7200000,Jakarta
106,2025-12-26,P003,Keyboard,2,350000,700000,Yogyakarta
230,2025-09-14,P004,Monitor,3,1800000,5400000,Semarang
16,,P002,Mouse,1,150000,150000,Bandung
99,2025-03-17,P005,Headset,5,450000,2250000,Surabaya
189,2025-12-26,P003,Keyboard,5,350000,1750000,Bandung
179,,P001,Laptop,4,7500000,30000000,Yogyakarta
199,2025-06-11,,Laptop,2,7500000,15000000,Yogyakarta
209,2025-01-27,P003,Keyboard,2,350000,700000,Bandung
56,2025-07-28,P002,Mouse,4,150000,600000,Jakarta
286,2025-08-15,P002,Mouse,1,150000,150000,Bandung
202,2025-02-21,P005,Headset,3,450000,1350000,Jakarta
17,2025-03-25,P004,Monitor,3,1800000,5400000,Bandung
71,2025-10-24,P002,Mouse,1,150000,150000,Semarang
271,2025-11-29,P005,Headset,4,450000,1800000,Yogyakarta
119,2025-08-09,P002,Mouse,3,150000,450000,Yogyakarta
264,2025-01-23,P002,Mouse,4,150000,600000,Bandung
138,2025-01-26,P005,,4,450000,1800000,Semarang
206,2025-12-24,P005,Headset,3,450000,1350000,Jakarta
278,2025-07-11,P003,Keyboard,3,350000,1050000,Surabaya
